storage Path,Type,Category,sku,English ProductName,German Product Name,Spanish Product Name,English Description,German Description,Spanish Description,Color,CountryOfOrigin,Brand,Weight,Length,width,Generic Size,Numeric Size,Availability,StockSize,Next Availability,Price,Discount,Store,ManufacturerAddress,MaterialUsed,Date of Manufacturing,Season,GenericName,Pattern,Design,Sleeve Type,Neck Style,Collar Type,Fit Type,Closure Type,Pocket Description,Kurti length,kurti Style,wash and  care,Rating,comment,Display Image,Images
/CLOTHING/WOMENS/TRADITIONAL WEAR/KURTIS and SUITS,object,/CATEGORY/WOMENS/TRADITIONAL WEAR/KURTIS and SUITS,CLOTH11,Checked Kurti,"Gepr�ft, Kurti",ComprobadoKurti,Stylish and comfortable checked kurti with a modern design. Perfect for casual outings and events.,Stilvoller und bequemer karierter Kurti mit modernem Design. Perfekt f�r ungezwungene Ausfl�ge und Veranstaltungen.,Kurti a cuadros elegante y c�modo con un dise�o moderno. Perfecto para salidas informales y eventos.,#0D33F1,IN,Biba,22 g,30 cm,20 cm,XL,,1,6,2024-01-11,510 INR,25,Ethnic Trends Emporium,"Biba Designs, 202 Fashion Plaza, Mumbai, India",Denim,2023-11-20,Autumn,Stylish Checked Kurti,Checked,Matelasse,3/4 Sleeves,v neck,,Elegant,,,long,Front slit Kurti,Washtub (washing),4.2,Stylish and comfortable.,/Womens/Checked kurti/Red/1.jpg,"/Womens/Checked kurti/Red/2.jpg,/Womens/Checked kurti/Red/3.jpg,/Womens/Checked kurti/Red/4.png,/Womens/Checked kurti/Red/5.png,/Womens/Checked kurti/Red/6.png"
/CLOTHING/WOMENS/TRADITIONAL WEAR/SAREES,object,/CATEGORY/WOMENS/TRADITIONAL WEAR/SAREES,CLOTH12,Saree1,Saree,sari,Elegant traditional saree with intricate border work. Perfect for weddings and special occasions.,Eleganter traditioneller Saree mit aufwendiger Bord�renarbeit. Perfekt f�r Hochzeiten und besondere Anl�sse.,Elegante sari tradicional con intrincados bordes. Perfecto para bodas y ocasiones especiales.,#EADDEA,IN,Neeru,23 g,31 cm,21 cm,Free,,1,2,2024-01-12,511 INR,40,Saree Haven,"Neeru's Heritage, 505 Saree Lane, Hyderabad, India",Cotton,2023-12-25,All,Elegant Saree,Paisley,Chevron,,,,Elegant,,,,,Triangle (bleaching),4.1,Elegant and beautiful. ,/Womens/Saaree/Green/1.jpg,"/Womens/Saaree/Green/1.jpg,/Womens/Saaree/Green/2.jpg,/Womens/Saaree/Green/3.jpg,/Womens/Saaree/Green/4.jpg,/Womens/Saaree/Green/5.jpg"
/CLOTHING/WOMENS/SPORTS WEAR/GYM TIGHTS,object,/CATEGORY/WOMENS/SPORTS WEAR/GYM TIGHTS,CLOTH13,Tracksuit,Tracksuit,Tracksuit,This is perfect for sports activities,Dies ist perfekt f�r sportliche Aktivit�ten,Esto es perfecto para actividades deportivas.,#FF3399,US,Puma,24 g,32 cm,22 cm,S,,1,4,2024-01-13,512 INR,20,ABC Clothing Store,"Nike Manufacturing, 123 Manufacturing St, Portland, OR, USA",Silk,2023-01-01,All,Perfect for workout,Plain,Afracian,Full Sleeves,,With Collar,Athlectic fit,,Cargo pocket,,,Iron (ironing),4.2,Very comfortable,/Womens/Tracksuit/1.jpg,"/Womens/Tracksuit/2.jpg,/Womens/Tracksuit/3.jpg,/Womens/Tracksuit/4.jpg,/Womens/Tracksuit/5.jpg"
/CLOTHING/WOMENS/WESTERN WEAR/DRESSES,object,/CATEGORY/WOMENS/WESTERN WEAR/DRESSES,CLOTH14,Umbrella dress,Middy,Middy,This is perfect for parties ,Das ist perfekt f�r Partys,Esto es perfecto para fiestas.,#F10D0D,ES,HRX,25 g,33 cm,23 cm,M,,1,3,2024-01-14,513 INR,10,Trendy Tees Boutique,"HRX Fashion Hub, 404 Style Street, Bangalore, India",Rayon,2023-02-05,Occasional,perfect for parties,Paisley,Animal,3/4 Sleeves,v neck,,Skinny fit,Clasps,,,,Circle (dry cleaning),5,very nice,/Womens/Western/1.jpg,"/Womens/Western/2.jpg,/Womens/Western/3.jpg,/Womens/Western/4.jpg,/Womens/Western/5.jpg "
/CLOTHING/WOMENS/TRADITIONAL WEAR/SAREES/Saree1,variant,/CATEGORY/WOMENS/TRADITIONAL WEAR/SAREES,CLOTH15,RoyalBlueSaree,K�nigsblauer Saree,Sari azul real,,,,#cc3366,RU,OshKosh,26 g,34 cm,24 cm,,,0,0,2024-01-15,514 INR,5,Trendy Tees Boutique,,,2023-03-10,,,,Abstract,,,,,,,,,,,,/Womens/Saaree/RoyalBlue/1.jpg,"/Womens/Saaree/RoyalBlue/1.jpg,/Womens/Saaree/RoyalBlue/2.jpg,/Womens/Saaree/RoyalBlue/3.jpg,/Womens/Saaree/RoyalBlue/4.jpg,/Womens/Saaree/RoyalBlue/5.jpg"
/CLOTHING/WOMENS/TRADITIONAL WEAR/SAREES/Saree1,variant,/CATEGORY/WOMENS/TRADITIONAL WEAR/SAREES,SHUBH23,WineSaree,WineSaree,VinoSari,,,,#cc3366,CN,Carters,27 g,35 cm,25 cm,,,1,5,2024-01-16,515 INR,7,Trendy Tees Boutique,,,2023-04-15,,,,Animal,,,,,,,,,,,,/Womens/Saaree/Wine/display.jpg,"/Womens/Saaree/Wine/1.jpg,/Womens/Saaree/Wine/2.jpg,/Womens/Saaree/Wine/3.jpg,/Womens/Saaree/Wine/4.jpg,/Womens/Saaree/Wine/5.jpg"
/CLOTHING/MENS/INDIAN AND FESTIVE WEAR/KURTA SETS/Kurta,variant,/CATEGORY/MENS/INDIAN AND FESTIVE WEAR/KURTA SETS,CLOTH17,NavyBlue kurta,Navy blau,Azul marino,,,,#E9F10D,US,Carters,28 g,36 cm,26 cm,XL,32,1,8,2024-01-17,516 INR,15,Trendy Tees Boutique,,,2023-05-20,,,,Chevron,,,,,,,,,,,Beautiful embroidery.,/Mens/Ethinic wear/NavyBlue/1.jpg,"/Mens/Ethinic wear/NavyBlue/1.jpg,/Mens/Ethinic wear/NavyBlue/2.jpg,/Mens/Ethinic wear/NavyBlue/3.jpg,/Mens/Ethinic wear/NavyBlue/4.jpg,/Mens/Ethinic wear/NavyBlue/5.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS/PoloShirt,variant,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,,MintPoloShirt,MintPolo,MentaPolo,,,,#F10D0D,IN,Biba,29 g,37 cm,27 cm,L,,1,2,2024-01-18,517 INR,0,ABC Clothing Store,,,2023-06-25,,,,Gingham,,,,,,,,,,2.5,hrsgsmsmmk,/Mens/Polo/Mint/1.jpg,"/Mens/Polo/Mint/1.jpg,/Mens/Polo/Mint/2.jpg,/Mens/Polo/Mint/3.jpg,/Mens/Polo/Mint/4.jpg,/Mens/Polo/Mint/5.jpg,/Mens/Polo/Mint/6.jpg,/Mens/Polo/Mint/7.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS/PoloShirt,variant,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,CLOTH19,RedPoloShirt,RedPolo,rojopolo,,,,#F10D0D,RU,Neeru,30 g,38 cm,28 cm,XL,,1,1,2024-07-08,518 INR,5,Urban Casuals,,,2023-07-30,,,,Ditsy,,,,,,,,,,4,gmgmbb,/Mens/Polo/Red/r1.jpg,"/Mens/Polo/Red/r2.jpg,/Mens/Polo/Red/r3.jpg,/Mens/Polo/Red/r4.jpg,/Mens/Polo/Red/r5.jpg,/Mens/Polo/Red/r6.jpg,/Mens/Polo/Red/r7.jpg,/Mens/Polo/Red/r8.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS/PoloShirt,variant,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,CLOTH20,YellowPoloShirt,GelbPolo,AmarilloPolo,,,,#F10D0D,ES,OshKosh,31 g,39 cm,29 cm,XXL,,1,6,2024-08-19,519 INR,15,Tiny Tots Denim Depot,,,2023-08-05,,,,Afracian,,,,,,,,,,,hdissndsns,/Mens/Polo/Yellow/1.jpg,"/Mens/Polo/Yellow/2.jpg,/Mens/Polo/Yellow/3.jpg,/Mens/Polo/Yellow/4.jpg,/Mens/Polo/Yellow/5.jpg,/Mens/Polo/Yellow/6.jpg"
